Edges in form: from to edge_char

From Node No. - To Node No. - Char on the Edge
================================================
449: 11 - 3 - 1
450: 11 - 3 - 2
451: 11 - 3 - 3
452: 11 - 3 - 4
453: 11 - 3 - 5
454: 11 - 3 - 6
455: 11 - 3 - 7
456: 11 - 3 - 8
457: 11 - 3 - 9
458: 11 - 3 - A
459: 11 - 3 - B
460: 11 - 3 - C
461: 11 - 3 - D
462: 11 - 3 - E
463: 11 - 3 - F
464: 11 - 3 - G
465: 11 - 3 - H
466: 11 - 3 - I
467: 11 - 3 - J
468: 11 - 3 - K
469: 11 - 3 - L
470: 11 - 3 - M
471: 11 - 3 - N
472: 11 - 3 - O
473: 11 - 3 - P
474: 11 - 3 - Q
475: 11 - 3 - R
476: 11 - 3 - S
477: 11 - 3 - T
478: 11 - 3 - U
479: 11 - 3 - V
480: 11 - 3 - W
481: 11 - 3 - X
482: 11 - 3 - Y
483: 11 - 3 - Z
484: 11 - 3 - a
485: 11 - 3 - b
486: 11 - 3 - c
487: 11 - 3 - d
488: 11 - 3 - e
489: 11 - 4 - f
490: 11 - 3 - g
491: 11 - 3 - h
492: 11 - 3 - i
493: 11 - 3 - j
494: 11 - 3 - k
495: 11 - 3 - l
496: 11 - 3 - m
497: 11 - 16 - n
498: 11 - 3 - o
499: 11 - 3 - p
500: 11 - 3 - q
501: 11 - 3 - r
502: 11 - 3 - s
503: 11 - 3 - t
504: 11 - 3 - u
505: 11 - 3 - v
506: 11 - 3 - w
507: 11 - 3 - x
508: 11 - 3 - y
509: 11 - 3 - z
510: 16 - 3 - 0
511: 16 - 3 - 1
512: 16 - 3 - 2
513: 16 - 3 - 3
514: 16 - 3 - 4
515: 16 - 3 - 5
516: 16 - 3 - 6
517: 16 - 3 - 7
518: 16 - 3 - 8
519: 16 - 3 - 9
520: 16 - 3 - A
521: 16 - 3 - B
522: 16 - 3 - C
523: 16 - 3 - D
524: 16 - 3 - E
525: 16 - 3 - F
526: 16 - 3 - G
527: 16 - 3 - H
528: 16 - 3 - I
529: 16 - 3 - J
530: 16 - 3 - K
531: 16 - 3 - L
532: 16 - 3 - M
533: 16 - 3 - N
534: 16 - 3 - O
535: 16 - 3 - P
536: 16 - 3 - Q
537: 16 - 3 - R
538: 16 - 3 - S
539: 16 - 3 - T
540: 16 - 3 - U
541: 16 - 3 - V
542: 16 - 3 - W
543: 16 - 3 - X
544: 16 - 3 - Y
545: 16 - 3 - Z
546: 16 - 3 - a
547: 16 - 3 - b
548: 16 - 3 - c
549: 16 - 3 - d
550: 16 - 3 - e
551: 16 - 3 - f
552: 16 - 3 - g
553: 16 - 3 - h
554: 16 - 3 - i
555: 16 - 3 - j
